# Roblox Asset IDs
# Format: filename : rbxassetid://ID

exit_256x256 : rbxassetid://108878242042065
external-link_256x256 : rbxassetid://100697894249996
eye-closed_256x256 : rbxassetid://136306160292883
eye-none_256x256 : rbxassetid://90893903820469
eye-open_256x256 : rbxassetid://73765738340117
face_256x256 : rbxassetid://115746126245868
figma-logo_256x256 : rbxassetid://129288152674924
file-minus_256x256 : rbxassetid://113816030362473
file-plus_256x256 : rbxassetid://110993208792017
file-text_256x256 : rbxassetid://117432834530261
file_256x256 : rbxassetid://93452662664959
filter_256x256 : rbxassetid://131355322988957
font-bold_256x256 : rbxassetid://125403002996128
font-family_256x256 : rbxassetid://98860671828106
font-italic_256x256 : rbxassetid://86069547157715
font-roman_256x256 : rbxassetid://85763932270173
font-size_256x256 : rbxassetid://135753102971317
font-style_256x256 : rbxassetid://92827368979334
framer-logo_256x256 : rbxassetid://136881776844755
frame_256x256 : rbxassetid://73700155263086
gear_256x256 : rbxassetid://71052135258381
github-logo_256x256 : rbxassetid://118192746019122
globe-2_256x256 : rbxassetid://103645890127790
globe_256x256 : rbxassetid://138081771414498
grid_256x256 : rbxassetid://99127684351938
group_256x256 : rbxassetid://137260320949775
half-1_256x256 : rbxassetid://70996804734299
half-2_256x256 : rbxassetid://101590925371481
hamburger-menu_256x256 : rbxassetid://92797655007735
hand_256x256 : rbxassetid://72902009381068
heading_256x256 : rbxassetid://117920482382418
heart-filled_256x256 : rbxassetid://103322517488897
heart_256x256 : rbxassetid://97343065173525
height_256x256 : rbxassetid://129564733455894
hobby-knife_256x256 : rbxassetid://110693663759821
home_256x256 : rbxassetid://83776942872883
iconjar-logo_256x256 : rbxassetid://89744405693612
id-card_256x256 : rbxassetid://89129773384163
image_256x256 : rbxassetid://73260507826214
info-circled_256x256 : rbxassetid://93427086753822
input_256x256 : rbxassetid://74401864599197
instagram-logo_256x256 : rbxassetid://84952161296013
keyboard_256x256 : rbxassetid://137377486704446
lap-timer_256x256 : rbxassetid://119508543179462
laptop_256x256 : rbxassetid://123786839674288
layers_256x256 : rbxassetid://133617245650156
layout_256x256 : rbxassetid://83518104411674
letter-case-capitalize_256x256 : rbxassetid://118494437299968
letter-case-lowercase_256x256 : rbxassetid://138645228849099
letter-case-toggle_256x256 : rbxassetid://75686572131526
letter-case-uppercase_256x256 : rbxassetid://136603095947060
letter-spacing_256x256 : rbxassetid://99615876340501
lightning-bolt_256x256 : rbxassetid://138869257284846
line-height_256x256 : rbxassetid://89897865045491
link-1_256x256 : rbxassetid://117149867966619
link-2_256x256 : rbxassetid://87438124855314
link-break-1_256x256 : rbxassetid://74021308183174
link-break-2_256x256 : rbxassetid://130000653567894
link-none-1_256x256 : rbxassetid://80975691746748
link-none-2_256x256 : rbxassetid://103223658488149
linkedin-logo_256x256 : rbxassetid://95210654882690
list-bullet_256x256 : rbxassetid://131392852165071
lock-closed_256x256 : rbxassetid://93890239917122
lock-open-1_256x256 : rbxassetid://137265616251359
lock-open-2_256x256 : rbxassetid://111348240757027
loop_256x256 : rbxassetid://106998438150865
magic-wand_256x256 : rbxassetid://104261823901354
magnifying-glass_256x256 : rbxassetid://76834693226502
margin_256x256 : rbxassetid://121894519022168
mask-off_256x256 : rbxassetid://109750613080456
mask-on_256x256 : rbxassetid://81132906492905
minimize_256x256 : rbxassetid://118045255530683
minus-circled_256x256 : rbxassetid://123852614836797
minus_256x256 : rbxassetid://136970829842166
mixer-horizontal_256x256 : rbxassetid://135941793265760
mixer-vertical_256x256 : rbxassetid://126331486579131
mix_256x256 : rbxassetid://133555987013451
mobile_256x256 : rbxassetid://76021463187532
modulz-logo_256x256 : rbxassetid://91344955024077
moon_256x256 : rbxassetid://76145223645435
move_256x256 : rbxassetid://82574514817316
notion-logo_256x256 : rbxassetid://96592922276819
opacity_256x256 : rbxassetid://138801125067872
open-in-new-window_256x256 : rbxassetid://73862979264878
overline_256x256 : rbxassetid://136072191348293
padding_256x256 : rbxassetid://93738190231087
panel-bottom-minimized_256x256 : rbxassetid://130921297465358
panel-bottom_256x256 : rbxassetid://83677731567656
panel-left-minimized_256x256 : rbxassetid://135494032082024
panel-left_256x256 : rbxassetid://140584383727009
panel-right-minimized_256x256 : rbxassetid://82643967089382
panel-right_256x256 : rbxassetid://131268037165487
paper-plane_256x256 : rbxassetid://115667636823151
pause_256x256 : rbxassetid://116809136038784
pencil-1_256x256 : rbxassetid://84757621438244
pencil-2_256x256 : rbxassetid://83540486503753
people_256x256 : rbxassetid://91356494928818
person_256x256 : rbxassetid://73996468053251
pie-chart_256x256 : rbxassetid://99322499021033
pilcrow_256x256 : rbxassetid://128330357185625
pin-bottom_256x256 : rbxassetid://115370663689708
pin-left_256x256 : rbxassetid://90091933959891
pin-right_256x256 : rbxassetid://73712719019343
pin-top_256x256 : rbxassetid://81081987334532
play_256x256 : rbxassetid://105876013164936
plus-circled_256x256 : rbxassetid://118149619504013
plus_256x256 : rbxassetid://88749593140179
question-mark-circled_256x256 : rbxassetid://128321460069375
question-mark_256x256 : rbxassetid://78745645175704
quote_256x256 : rbxassetid://130010932182508
radiobutton_256x256 : rbxassetid://75103772561025
reader_256x256 : rbxassetid://114847289912165
reload_256x256 : rbxassetid://88191519012938
reset_256x256 : rbxassetid://81225266159325
resume_256x256 : rbxassetid://102793774771337
rocket_256x256 : rbxassetid://120376231111120
rotate-counter-clockwise_256x256 : rbxassetid://129022266439395
row-spacing_256x256 : rbxassetid://137333763176069
rows_256x256 : rbxassetid://94328098696092
ruler-horizontal_256x256 : rbxassetid://80473962208776
ruler-square_256x256 : rbxassetid://101418260016467
scissors_256x256 : rbxassetid://102940197257186
section_256x256 : rbxassetid://125609688397902
server_256x256 : rbxassetid://107753432740935
sewing-pin-filled_256x256 : rbxassetid://133976378849197
sewing-pin_256x256 : rbxassetid://81183640874254
shadow-inner_256x256 : rbxassetid://100796828690119
shadow-none_256x256 : rbxassetid://109400547146130
shadow-outer_256x256 : rbxassetid://78101723171284
shadow_256x256 : rbxassetid://94961866541332
share-1_256x256 : rbxassetid://108826740327998
share-2_256x256 : rbxassetid://85013902861099
shuffle_256x256 : rbxassetid://99262179049533
size_256x256 : rbxassetid://103171750867348
sketch-logo_256x256 : rbxassetid://137433783943559
slash_256x256 : rbxassetid://83300123214777
slider_256x256 : rbxassetid://86382630429796
space-between-horizontally_256x256 : rbxassetid://98654871848064
space-between-vertically_256x256 : rbxassetid://138553976589616
space-evenly-horizontally_256x256 : rbxassetid://79822765280970
space-evenly-vertically_256x256 : rbxassetid://113899323858258
speaker-loud_256x256 : rbxassetid://98943007554606
speaker-moderate_256x256 : rbxassetid://94823941819246
speaker-off_256x256 : rbxassetid://94285828038813
speaker-quiet_256x256 : rbxassetid://121111885412119
square_256x256 : rbxassetid://88537635897722
stack_256x256 : rbxassetid://117001650628929
star-filled_256x256 : rbxassetid://131208252559617
star_256x256 : rbxassetid://81288077784308
stitches-logo_256x256 : rbxassetid://134254701914861
stopwatch_256x256 : rbxassetid://127422702455130
stop_256x256 : rbxassetid://131940722607275
stretch-horizontally_256x256 : rbxassetid://81182395404094
stretch-vertically_256x256 : rbxassetid://106628280771864
strikethrough_256x256 : rbxassetid://107394352734065
sun_256x256 : rbxassetid://113411297294526
switch_256x256 : rbxassetid://84242553412193
symbol_256x256 : rbxassetid://118958633487964
table_256x256 : rbxassetid://98850863192229
target_256x256 : rbxassetid://86731292877173
text-align-bottom_256x256 : rbxassetid://122948403455346
text-align-center_256x256 : rbxassetid://99748181108076
text-align-justify_256x256 : rbxassetid://86726943971155
text-align-left_256x256 : rbxassetid://102180397779123
text-align-middle_256x256 : rbxassetid://78472474485989
text-align-right_256x256 : rbxassetid://89525042777475
text-align-top_256x256 : rbxassetid://134987132485624
text-none_256x256 : rbxassetid://99493956751798
text_256x256 : rbxassetid://135257778761969
thick-arrow-down_256x256 : rbxassetid://76613126241828
thick-arrow-left_256x256 : rbxassetid://99650927012177
thick-arrow-right_256x256 : rbxassetid://98541080356552
thick-arrow-up_256x256 : rbxassetid://128286440721645
timer_256x256 : rbxassetid://130484917797826
tokens_256x256 : rbxassetid://98899106836827
track-next_256x256 : rbxassetid://106405882207835
track-previous_256x256 : rbxassetid://93073170511453
transform_256x256 : rbxassetid://96875835041226
transparency-grid_256x256 : rbxassetid://81540777312438
trash_256x256 : rbxassetid://114091859879584
triangle-down_256x256 : rbxassetid://82465445415105
triangle-left_256x256 : rbxassetid://72460268080359
triangle-right_256x256 : rbxassetid://109944808704651
triangle-up_256x256 : rbxassetid://135718836080438
twitter-logo_256x256 : rbxassetid://73583235824054
underline_256x256 : rbxassetid://123359677391671
update_256x256 : rbxassetid://83063826247404
upload_256x256 : rbxassetid://108937280926985
value-none_256x256 : rbxassetid://77218850202454
value_256x256 : rbxassetid://131195217623989
view-grid_256x256 : rbxassetid://130272303411996
view-horizontal_256x256 : rbxassetid://127082021147073
view-none_256x256 : rbxassetid://129548660135665
view-vertical_256x256 : rbxassetid://129159805897071
width_256x256 : rbxassetid://121561195308963
zoom-in_256x256 : rbxassetid://105162166638501
zoom-out_256x256 : rbxassetid://85026074765189
